iter	RMSE
0	11158.52498
1	10428.07167
2	9690.739808
3	9016.649479
4	8501.442316
5	7975.759985
6	7525.327929
7	7168.181718
8	6823.15887
9	6512.684315
10	6226.965424
11	5978.305533
12	5766.772793
13	5593.266146
14	5469.125143
15	5346.628791
16	5231.659968
17	5128.173276
18	5043.936494
19	4980.163841
20	4912.920962
21	4848.352378
22	4799.326217
23	4755.579073
24	4724.085548
25	4694.422117
26	4661.334898
27	4638.994671
28	4618.507796
29	4612.209992330	4590.444304331	4570.520488332	4557.118997333	4543.3827
34	4529.03376
35	4517.93384
36	4506.783365
37	4497.997246
38	4487.031408
39	4480.59993
40	4472.890728
41	4462.801631
42	4458.134494
43	4456.200022
44	4449.625934
45	4445.534658
46	4439.274429
47	4433.717785
48	4428.981739
49	4424.851747
50	4420.47906
51	4420.478142
52	4417.000909
53	4413.990853
54	4410.826084
55	4410.737859
56	4406.875225
57	4402.924298
58	4395.708748
59	4395.085804
60	4389.654404
61	4389.026863
62	4385.43726
63	4382.33208
64	4380.183603
65	4372.800198
66	4368.02037
67	4366.908015
68	4363.32954
69	4356.085993
70	4353.844657
71	4352.243214
72	4351.821071
73	4346.234797
74	4342.964151
75	4342.681176
76	4340.394457
77	4338.875057
78	4338.470991
79	4334.431766
80	4332.124363
81	4330.207492
82	4329.518788
83	4327.853715
84	4325.895138
85	4323.029559
86	4320.988347
87	4319.144226
88	4316.565454
89	4313.388149
90	4310.65234
91	4307.769856
92	4306.921955
93	4303.410239
94	4301.928446
95	4296.51991
96	4296.51909
97	4288.351185
98	4284.511809
99	4281.821384
100	4280.431148
101	4278.610884
102	4277.236821
103	4276.943449
104	4275.900468
105	4274.942711
106	4274.487201
107	4269.536009
108	4264.117125
109	4260.649948
110	4257.951693
111	4254.0866
112	4245.593514
113	4240.640488
114	4238.20197
115	4237.638411
116	4237.028507
117	4234.293121
118	4230.328076
119	4228.381459
120	4225.992489
121	4225.529855
122	4221.600479
123	4220.450133
124	4218.071843
125	4215.96702
126	4213.847282
127	4212.461086
128	4212.082442
129	4208.098497
130	4204.563255
131	4202.839981
132	4198.014355
133	4197.785214
134	4196.07217
135	4195.146516
136	4194.762403
137	4191.98096
138	4185.720668
139	4185.573734
140	4181.732581
141	4181.540913
142	4178.231171
143	4175.654557
144	4173.48144
145	4173.323686
146	4172.17928
147	4171.382936
148	4168.667212
149	4167.494772
150	4163.49193
151	4161.995795
152	4160.243896
153	4158.515226
154	4154.700531
155	4153.614982
156	4152.696377
157	4149.624092
158	4144.678809
159	4140.750622
160	4138.394309
161	4136.792117
162	4133.235116
163	4131.123856
164	4130.508495
165	4129.156991
166	4127.926377
167	4126.404072
168	4125.239882
169	4124.188999
170	4124.123904
171	4122.693813
172	4119.086355
173	4115.444048
174	4112.812986
175	4111.802965
176	4108.499716
177	4108.299808
178	4106.771938
179	4105.450521
180	4104.959437
181	4104.50372
182	4101.506678
183	4099.587584
184	4098.3669
185	4097.63732
186	4096.202864
187	4095.055085
188	4092.444016
189	4091.372545
190	4090.745283
191	4090.325343
192	4089.317819
193	4088.490508
194	4087.588931
195	4085.314981
196	4084.180711
197	4077.12613
198	4075.71263
199	4074.82112
732
9872
88

